Latitude,Longitude,year,month,chirps_monthly_precip
-34.405833,19.600556,2011,1,9.707599639892578
-34.329722,18.990278,2011,1,14.452713966369629
-34.250556,20.9925,2011,1,16.399974822998047
-34.096389,24.439167,2011,1,36.952613830566406
-34.092222,21.295278,2011,1,21.830644607543945
-34.075556,20.145556,2011,1,11.128555297851562
-34.065833,20.404167,2011,1,36.65599822998047
-34.039722,22.133333,2011,1,24.34674644470215
-34.0325,24.196389,2011,1,47.983375549316406
-34.031944,22.053333,2011,1,23.29937744140625
-34.02861,22.22222,2011,1,33.854087829589844
-34.005833,22.351111,2011,1,44.321044921875
-33.980556,21.653333,2011,1,20.627981185913086
-33.970833,22.548333,2011,1,36.762725830078125
-33.897778,20.012778,2011,1,4.454773902893066
-33.870833,20.003333,2011,1,4.454773902893066
-33.818056,19.694722,2011,1,5.748002529144287
-33.771111,25.386667,2011,1,19.514694213867188
-33.731111,24.618333,2011,1,26.754322052001953
-33.72266667,18.61691667,2011,1,9.811060905456543
-33.7075,18.97444444,2011,1,12.492364883422852
-33.506389,26.744722,2011,1,31.476032257080078
-33.501667,21.624167,2011,1,18.247838973999023
-33.464444,18.740556,2011,1,8.092475891113281
-33.38056,19.30167,2011,1,11.511204719543457
-33.329167,26.0775,2011,1,29.259117126464844
-33.31388889,19.07472222,2011,1,9.512894630432129
-33.23778,26.99472,2011,1,49.98137664794922
-33.202778,24.235556,2011,1,39.90314483642578
-33.18536111,27.39075,2011,1,72.39983367919922
-33.13083,18.86278,2011,1,5.634243011474609
-33.094444,25.012778,2011,1,34.65205764770508
-33.08883333,19.21878333,2011,1,8.85666275024414
-33.001667,25.161389,2011,1,34.008853912353516
-32.99163889,27.64002778,2011,1,92.85230255126953
-32.94583,18.33667,2011,1,4.326136589050293
-32.802778,27.856389,2011,1,100.60398864746094
-32.761111,26.629444,2011,1,68.79592895507812
-32.713889,26.296667,2011,1,54.184993743896484
-32.605278,25.885,2011,1,70.26852416992188
-32.601389,18.750556,2011,1,4.351645469665527
-32.595833,19.009444,2011,1,4.221938133239746
-32.579167,27.366667,2011,1,157.6328125
-32.515278,28.015556,2011,1,118.45360565185547
-32.502778,19.535833,2011,1,3.716674327850342
-32.173889,27.3725,2011,1,116.87580108642578
-32.08639,25.57556,2011,1,60.5284538269043
-32.043333,27.822778,2011,1,111.08609008789062
-32.00055556,28.58166667,2011,1,95.28478240966797
-31.905,25.43,2011,1,67.19105529785156
-31.903056,25.482222,2011,1,66.69190979003906
-31.860278,18.6875,2011,1,2.722752094268799
-31.5653,18.3306,2011,1,3.2727363109588623
-31.554722,29.245556,2011,1,118.86912536621094
-31.436944,20.474722,2011,1,9.145912170410156
-31.396,29.2651,2011,1,124.66551971435547
-31.394444,20.947222,2011,1,13.2184476852417
-31.104278,29.399722,2011,1,140.30825805664062
